Claim Number,Date Received,Incident Date,Airport Code,Airport Name,Airline Name,Claim Type,Claim Site,Item,Claim Amount,Status,Close Amount,Disposition
0909802M,4-Jan-02,12/12/2002 0:00,EWR,Newark International Airport,Continental Airlines,Property Damage,Checkpoint,Other,350.00 ,Approved,350.00 ,Approve in Full
0202445M,4-Feb-02,11/26/2003 0:00,STL,Lambert St. Louis International,American Airlines,Property Damage,Checked Baggage,Cell Phones,278.88 ,Settled,227.92 ,Settle
0909816M,7-Feb-02,1/6/2003 0:00,MIA,Miami International Airport,American Airlines,Property Damage,Checkpoint,Luggage (all types including footlockers),50.00 ,Approved,50.00 ,Approve in Full
2005032379513,18-Feb-02,2/5/2005 0:00,MCO,Orlando International Airport,Delta (Song),Property Damage,Checkpoint,Baby - Strollers; car seats; playpen; etc.,84.79 ,Approved,84.79 ,Approve in Full
2005032479636,18-Feb-02,2/17/2005 0:00,CAK,Akron-Canton Regional,Air Tran Airlines(do not use),Passenger Property Loss,Checked Baggage,Other,459.01 ,Settled,227.00 ,Settle
2007050124750,30-Apr-02,4/26/2007 0:00,PHL,Philadelphia International Airport,USAir,Passenger Property Loss,Checked Baggage,Professional Equipment,106.52 ,Approved,106.52 ,Approve in Full
2005071188575,6-Jul-02,6/23/2005 0:00,ORD,Chicago O'Hare International Airport,American Airlines,Passenger Property Loss,Checked Baggage,Clothing - Shoes; belts; accessories; etc.,79.95 ,Approved,79.95 ,Approve in Full
2005070788431,7-Jul-02,6/17/2005 0:00,CLT,Charlotte/Douglas International Airport,AirTran Airlines,Property Damage,Checked Baggage,Luggage (all types including footlockers),43.49 ,Approved,43.49 ,Approve in Full
16410,24-Jul-02,7/10/2002 0:00,SDF,Louisville International,Delta Air Lines,Passenger Property Loss,Checkpoint,Luggage (all types including footlockers),600.00 ,Settled,337.40 ,Settle
0702564M,19-Aug-02,6/22/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,America West,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),354.93 ,Settled,301.69 ,Settle
16759,21-Aug-02,7/12/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Passenger Property Loss,Checkpoint,Other,21.44 ,Approved,21.00 ,Approve in Full
17892,9-Sep-02,8/23/2002 0:00,RDU,Raleigh-Durham International,USAir,Property Damage,Checkpoint,Luggage (all types including footlockers),30.00 ,Approved,30.00 ,Approve in Full
18301,18-Sep-02,8/14/2002 0:00,JFK,John F. Kennedy International,UAL,Passenger Property Loss,Checkpoint,Cell Phones,213.00 ,Settled,74.55 ,Settle
15542,19-Sep-02,7/1/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,Southwest Airlines,Property Damage,Other,Cameras - Digital,249.00 ,Denied,0.00 ,Deny
18098,19-Sep-02,8/21/2002 0:00,BOS,Boston (Logan) International Airport,UAL,Property Damage,Checkpoint,Other,150.00 ,Settled,75.00 ,Settle
18221,25-Sep-02,9/12/2002 0:00,BHM,Birmingham International Airport,Delta Air Lines,Passenger Property Loss,Checkpoint,Other,20.00 ,Approved,20.00 ,Approve in Full
21134,27-Sep-02,8/3/2002 0:00,BWI,Baltimore/Washington Intl Thurgood Marshall,USAir,Passenger Property Loss,Checkpoint,Eyeglasses - (including contact lenses),379.90 ,Settled,364.07 ,Settle
18966,2-Oct-02,9/26/2002 0:00,JFK,John F. Kennedy International,Jet Blue,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),3250.04 ,Approved,3250.00 ,Approve in Full
18181,8-Oct-02,9/12/2002 0:00,MDW,Midway International Airport,Southwest Airlines,Passenger Property Loss,Checkpoint,Currency,100.00 ,Approved,100.00 ,Approve in Full
18386,9-Oct-02,8/22/2002 0:00,BOS,Boston (Logan) International Airport,UAL,Property Damage,Checkpoint,Cell Phones,75.30 ,Approved,75.00 ,Approve in Full
18908,9-Oct-02,9/9/2002 0:00,RDU,Raleigh-Durham International,Continental Airlines,Property Damage,Checkpoint,Other,342.36 ,Approved,237.00 ,Approve in Full
19239,15-Oct-02,9/20/2002 0:00,BOS,Boston (Logan) International Airport,American Airlines,Passenger Property Loss,Checkpoint,Photographic Film,65.00 ,Approved,65.00 ,Approve in Full
21052,17-Oct-02,9/22/2002 0:00,MCO,Orlando International Airport,Virgin Atlantic,Property Damage,Checkpoint,Eyeglasses - (including contact lenses),60.00 ,Approved,60.00 ,Approve in Full
21053,17-Oct-02,9/15/2002 0:00,JFK,John F. Kennedy International,American Airlines,Passenger Property Loss,Checkpoint,Other,499.00 ,Approved,499.00 ,Approve in Full
18614,17-Oct-02,9/14/2002 0:00,MCO,Orlando International Airport,American Airlines,Property Damage,Checkpoint,Computer - Laptop,2000.00 ,Settled,600.00 ,Settle
17356,22-Oct-02,8/28/2002 0:00,BNA,Nashville International,USAir,Passenger Property Loss,Checkpoint,Jewelry - Fine,1000.00 ,Approved,1000.00 ,Approve in Full
